,City,Year,AQI,AQI_Category
0,Ahmedabad,2015,310.9505703422053,Hazardous
1,Ahmedabad,2016,310.1623931623932,Hazardous
2,Ahmedabad,2017,558.768115942029,Hazardous
3,Ahmedabad,2018,622.2633053221289,Hazardous
4,Ahmedabad,2019,516.3522727272727,Hazardous
5,Ahmedabad,2020,242.0681818181818,Very Unhealthy
6,Aizawl,2020,34.765765765765764,Good
7,Amaravati,2017,192.51351351351352,Unhealthy
8,Amaravati,2018,101.39102564102564,Unhealthy SG
9,Amaravati,2019,98.48543689320388,Moderate
10,Amaravati,2020,59.87978142076503,Moderate
11,Amritsar,2017,148.06766917293234,Unhealthy SG
12,Amritsar,2018,122.92592592592592,Unhealthy SG
13,Amritsar,2019,109.5,Unhealthy SG
14,Amritsar,2020,92.97701149425288,Moderate
15,Bengaluru,2015,112.57342657342657,Unhealthy SG
16,Bengaluru,2016,105.58404558404558,Unhealthy SG
17,Bengaluru,2017,87.12087912087912,Moderate
18,Bengaluru,2018,86.30747922437673,Moderate
19,Bengaluru,2019,91.6027397260274,Moderate
20,Bengaluru,2020,79.71584699453553,Moderate
21,Bhopal,2019,162.6095238095238,Unhealthy
22,Bhopal,2020,114.7514450867052,Unhealthy SG
23,Brajrajnagar,2017,247.6,Very Unhealthy
24,Brajrajnagar,2018,154.99615384615385,Unhealthy
25,Brajrajnagar,2019,148.40062111801242,Unhealthy SG
26,Brajrajnagar,2020,137.10743801652893,Unhealthy SG
27,Chandigarh,2019,135.54700854700855,Unhealthy SG
28,Chandigarh,2020,71.3956043956044,Moderate
29,Chennai,2015,148.33333333333334,Unhealthy SG
30,Chennai,2016,138.56586826347305,Unhealthy SG
31,Chennai,2017,104.53739612188366,Unhealthy SG
32,Chennai,2018,105.4904109589041,Unhealthy SG
33,Chennai,2019,102.94246575342466,Unhealthy SG
34,Chennai,2020,80.25136612021858,Moderate
35,Coimbatore,2019,77.02659574468085,Moderate
36,Coimbatore,2020,68.19871794871794,Moderate
37,Delhi,2015,297.02465753424656,Very Unhealthy
38,Delhi,2016,301.36986301369865,Hazardous
39,Delhi,2017,256.72752808988764,Very Unhealthy
40,Delhi,2018,249.15890410958903,Very Unhealthy
41,Delhi,2019,232.1041095890411,Very Unhealthy
42,Delhi,2020,181.672131147541,Unhealthy
43,Ernakulam,2020,92.359477124183,Moderate
44,Gurugram,2016,226.71308016877637,Very Unhealthy
45,Gurugram,2017,284.70212765957444,Very Unhealthy
46,Gurugram,2018,234.1529411764706,Very Unhealthy
47,Gurugram,2019,195.22252747252747,Unhealthy
48,Gurugram,2020,158.65573770491804,Unhealthy
49,Guwahati,2019,127.56089743589743,Unhealthy SG
50,Guwahati,2020,161.50819672131146,Unhealthy
51,Hyderabad,2015,143.4191176470588,Unhealthy SG
52,Hyderabad,2016,124.24035608308606,Unhealthy SG
53,Hyderabad,2017,112.32960893854748,Unhealthy SG
54,Hyderabad,2018,97.55616438356165,Moderate
55,Hyderabad,2019,93.98082191780821,Moderate
56,Hyderabad,2020,78.17486338797814,Moderate
57,Jaipur,2017,156.13812154696132,Unhealthy
58,Jaipur,2018,150.02739726027397,Unhealthy
59,Jaipur,2019,120.5123287671233,Unhealthy SG
60,Jaipur,2020,105.12021857923497,Unhealthy SG
61,Jorapokhar,2017,121.18518518518519,Unhealthy SG
62,Jorapokhar,2018,185.21333333333334,Unhealthy
63,Jorapokhar,2019,157.58745874587459,Unhealthy
64,Jorapokhar,2020,145.3395061728395,Unhealthy SG
65,Kochi,2020,104.28481012658227,Unhealthy SG
66,Kolkata,2018,155.31553398058253,Unhealthy
67,Kolkata,2019,143.9095890410959,Unhealthy SG
68,Kolkata,2020,117.29508196721312,Unhealthy SG
69,Lucknow,2015,202.23591549295776,Very Unhealthy
70,Lucknow,2016,242.97305389221557,Very Unhealthy
71,Lucknow,2017,237.62154696132598,Very Unhealthy
72,Lucknow,2018,233.77260273972604,Very Unhealthy
73,Lucknow,2019,202.56164383561645,Very Unhealthy
74,Lucknow,2020,157.12568306010928,Unhealthy
75,Mumbai,2018,102.61233480176212,Unhealthy SG
76,Mumbai,2019,107.95068493150686,Unhealthy SG
77,Mumbai,2020,103.56830601092896,Unhealthy SG
78,Patna,2015,350.55555555555554,Hazardous
79,Patna,2016,252.32628398791542,Very Unhealthy
80,Patna,2017,326.36805555555554,Hazardous
81,Patna,2018,233.6343490304709,Very Unhealthy
82,Patna,2019,218.2590529247911,Very Unhealthy
83,Patna,2020,162.2513661202186,Unhealthy
84,Shillong,2019,44.476190476190474,Good
85,Shillong,2020,57.929577464788736,Moderate
86,Talcher,2018,185.744769874477,Unhealthy
87,Talcher,2019,169.02310231023102,Unhealthy
88,Talcher,2020,160.69230769230768,Unhealthy
89,Thiruvananthapuram,2017,68.61146496815287,Moderate
90,Thiruvananthapuram,2018,83.46260387811634,Moderate
91,Thiruvananthapuram,2019,76.23646723646723,Moderate
92,Thiruvananthapuram,2020,66.46448087431693,Moderate
93,Visakhapatnam,2016,103.97604790419162,Unhealthy SG
94,Visakhapatnam,2017,143.0943396226415,Unhealthy SG
95,Visakhapatnam,2018,122.81901840490798,Unhealthy SG
96,Visakhapatnam,2019,123.44281524926686,Unhealthy SG
97,Visakhapatnam,2020,84.68539325842697,Moderate
